"","returns.z"
"1",0.0533027563639319
"2",0.045152917276166
"3",-0.0877261502368807
"4",-0.110036874394043
"5",-0.0108615050646037
"6",0.179233020316138
"7",0.0580127340428067
"8",0.207502906114737
"9",0.0411773085435261
"10",0.0363010155245291
"11",0.174325574674345
"12",-0.234263335393047
"13",0.324422460324755
"14",0.127168507590838
"15",0.201471802898833
"16",0.288539264151954
"17",0.235684466981501
"18",-0.334354652205752
"19",0.0158995955310122
"20",0.163332626276684
"21",-0.181086532572323
"22",-0.155883040398789
"23",0.0298997708904647
"24",-0.372572107812633
"25",-0.0148851670928902
"26",0.252816436047439
"27",-0.0794903774180007
"28",0.182929644377301
"29",-0.188831279248266
"30",-0.151906577161371
"31",0.0336355412073033
"32",-0.21771419849768
"33",0.0296442575883873
"34",0.174381884886335
"35",0.0504154705534354
"36",0.0694532932398868
"37",0.0251622326598042
"38",-0.106903040524605
"39",-0.0177528637095108
"40",-0.15003402328783
"41",0.0498693331915341
"42",-0.131309780745013
"43",-0.0477411195617456
"44",-0.0496885288502469
"45",0.0351955441824447
"46",0.0543851885473252
"47",-0.0549831514001795
"48",0.151846981850964
"49",0.104699020533031
"50",-0.156114812645789
"51",-0.107488923827185
"52",0.0264682826061673
"53",0.0337682615370749
"54",0.0860421263233988
"55",-0.155438597369363
"56",0.039860056613513
"57",0.0307297319964945
"58",-0.0122135190321941
"59",-0.00170822352352218
"60",-0.042604439321364
"61",0.0387953782487358
"62",-0.0153182954991316
"63",-0.000628863950293379
"64",-0.0055722078737297
"65",-0.130273486319755
"66",-0.326264534132475
"67",0.018245180709128
"68",-0.160115306373255
"69",-0.0935722391627891
"70",0.196495344079537
"71",-0.0330620597755065
"72",0.0476859741320634
"73",-0.137074339442512
"74",0.0178081099047578
"75",0.00326087858694635
"76",-0.0264619981654732
"77",0.0622068593456202
"78",-0.00339701237438916
"79",0.0205049863202849
"80",0.0170014331718296
"81",0.0282416365784535
"82",0.0162881103513612
"83",0.00276923716975652
"84",0.0276124769453379
"85",0.230974986969681
"86",-0.00756587314256585
"87",0.0240378786673379
"88",0.00972776578780987
"89",0.0845209271119707
"90",0.187583600584155
"91",0.156602196254653
"92",0.0556072973315338
"93",0.0128660785749144
"94",-0.134462052629832
"95",0.160182800058051
"96",0.197293984842416
"97",-0.0047766261764437
"98",0.0496176852779868
"99",-0.114307435669506
"100",0.0400050840755792
"101",-0.104203324467116
"102",0.135785953390428
"103",0.0552419881623951
"104",-0.113880908452161
"105",-0.016048682132686
"106",-0.042055416029859
"107",0.0652967184836601
"108",-0.00765552960256066
"109",-0.0268710882151808
"110",-0.220563838879908
"111",-0.0238493081697282
"112",0.052185343158202
"113",-0.00626246109736783
"114",0.147459703789288
"115",-0.0358090537344324
"116",-0.0170277743123037
"117",-0.0612520677834372
"118",-0.208351815610177
"119",0.0682514997530479
"120",0.0160019520796979
"121",-0.0535404407011697
"122",0.0523853300078674
"123",-0.0152054551922696
"124",-0.00399946556001929
"125",0.106410685965582
"126",0.0612176415449301
"127",-0.0100135388909539
"128",0.0798919752996525
"129",0.0842492591398045
"130",-0.0233684226103836
"131",0.00192710022079368
"132",-0.152395046217173
"133",-0.0602130885526204
"134",-0.404390164271241
"135",0.0814389252095769
"136",0.0111528211552638
"137",0.141113408438173
"138",0.0191588983772988
"139",0.0309411164385001
"140",0.0773121706148814
"141",0.145071058360221
"142",-0.0194580335547236
"143",0.104129185483437
"144",-0.1044078055249
"145",0.0801734279769946
"146",0.0311268634343946
"147",-0.0424274530292532
"148",-0.00508779701546835
"149",-0.0193737646742438
"150",-0.00516229228176179
"151",0.025402842976515
"152",-0.0101298745292233
"153",0.0755353707873407
"154",0.108645138872864
"155",0.0536611121685571
"156",0.0194405402255953
"157",-0.0223166907924295
"158",0.00539658122904996
"159",-0.132659832567176
"160",0.00744380418505308
"161",0.0552954060604129
"162",-0.0134625830148885
"163",-0.0100388513730767
"164",0.0637719356893847
"165",0.0117279292627845
"166",0.124544552741384
"167",0.0547102438725062
"168",0.117357442393553
"169",0.0306653238429693
"170",0.14323699196226
"171",-0.012538067855516
"172",0.0625815610976055
